Summary,Issue Type,Priority,Story Points,Sprint,Assignee,Labels,Description
"En tant que Product Owner, je veux formaliser la problematique, les objectifs et la valeur metier du projet, afin que l'equipe partage une vision commune avant de coder.",Story,High,3,Sprint 1,Product Owner,Livrable-01-Vision,"Contribue au Livrable 1 - Vision du cahier des charges. Ref. product_backlog.md (US-01)."
"En tant que Scrum Master, je veux un Product Backlog priorise et un planning de 3 sprints, afin d'organiser le travail de l'equipe de facon iterative.",Story,High,2,Sprint 1,Scrum Master,Livrable-02-Agile,"Contribue au Livrable 2 - Agile du cahier des charges. Ref. product_backlog.md (US-02)."
"En tant que Data Engineer, je veux initialiser le depot Git avec une structure de dossiers claire, afin que chaque membre de l'equipe puisse contribuer sans conflit.",Story,High,2,Sprint 1,Data Engineer (lead),Livrable-03-GitHub,"Contribue au Livrable 3 - GitHub du cahier des charges. Ref. product_backlog.md (US-03)."
"En tant que Data Engineer, je veux ingerer automatiquement le dataset de transactions via dlt vers DuckDB, afin de disposer d'une table brute reproductible sans script ad hoc.",Story,High,5,Sprint 1,Data Engineer (lead),Livrable-03-Pipeline-DataOps,"Contribue au Livrable 3 - Pipeline DataOps du cahier des charges. Ref. product_backlog.md (US-04)."
"En tant que Data Engineer, je veux valider le schema et la nullite des donnees des l'ingestion (shift left), afin de detecter les anomalies avant qu'elles ne se propagent dans les transformations.",Story,High,3,Sprint 1,Data Engineer 3,Livrable-04-Qualite,"Contribue au Livrable 4 - Qualite du cahier des charges. Ref. product_backlog.md (US-05)."
"En tant que Data Engineer, je veux transformer les donnees brutes avec dbt (staging puis marts), afin d'obtenir des tables nettoyees et documentees pretes pour le Machine Learning.",Story,High,5,Sprint 1,Data Engineer 2,Livrable-03-Pipeline-DataOps,"Contribue au Livrable 3 - Pipeline DataOps du cahier des charges. Ref. product_backlog.md (US-06)."
"En tant que Data Engineer, je veux orchestrer l'ingestion, la validation et la transformation avec Dagster, afin que le pipeline s'execute de bout en bout de facon fiable et visible.",Story,High,5,Sprint 1,Data Engineer 2,Livrable-03-Pipeline-DataOps,"Contribue au Livrable 3 - Pipeline DataOps du cahier des charges. Ref. product_backlog.md (US-07)."
"En tant que Data Analyst, je veux documenter le Data Contract (schema, regles de qualite, consommateurs) du produit de donnees, afin de formaliser les engagements de qualite envers les equipes en aval.",Story,High,3,Sprint 2,Data Engineer 3,Livrable-04-Qualite,"Contribue au Livrable 4 - Qualite du cahier des charges. Ref. product_backlog.md (US-08)."
"En tant que Data Analyst, je veux documenter le lignage des donnees (data lineage) de la source Kaggle jusqu'au service expose, afin de pouvoir diagnostiquer rapidement l'origine d'une anomalie.",Story,Medium,3,Sprint 2,Data Analyst 1,Livrable-04-Qualite,"Contribue au Livrable 4 - Qualite du cahier des charges. Ref. product_backlog.md (US-09)."
"En tant que Data Engineer, je veux des tests dbt couvrant schema, contenu et regles metier, afin de garantir qu'un pipeline casse ne soit jamais utilise pour entrainer un modele.",Story,High,3,Sprint 2,Data Engineer (lead),Livrable-04-Qualite,"Contribue au Livrable 4 - Qualite du cahier des charges. Ref. product_backlog.md (US-10)."
"En tant que ML Engineer, je veux preparer un jeu d'entrainement/test stratifie a partir des tables dbt, afin de traiter correctement le fort desequilibre des classes (0,17% de fraude).",Story,High,3,Sprint 2,ML Engineer 1,Livrable-05-ML,"Contribue au Livrable 5 - Machine Learning du cahier des charges. Ref. product_backlog.md (US-11)."
"En tant que ML Engineer, je veux entrainer et comparer plusieurs modeles scikit-learn (regression logistique, random forest) avec un tracking MLflow, afin de choisir objectivement le meilleur modele selon des metriques adaptees (PR-AUC, recall).",Story,High,8,Sprint 2,ML Engineer 1,Livrable-05-ML Livrable-06-MLflow,"Contribue aux Livrables 5 - Machine Learning et 6 - MLflow du cahier des charges. Ref. product_backlog.md (US-12)."
"En tant que ML Engineer, je veux enregistrer le modele retenu dans le MLflow Model Registry avec ses metadonnees de tracabilite, afin de pouvoir en suivre les versions et le promouvoir en production.",Story,High,3,Sprint 2,ML Engineer 2,Livrable-06-MLflow,"Contribue au Livrable 6 - MLflow du cahier des charges. Ref. product_backlog.md (US-13)."
"En tant qu'utilisateur du systeme de paiement (Data Consumer), je veux appeler un endpoint POST /predict, afin d'obtenir un score de fraude pour une transaction donnee.",Story,High,5,Sprint 3,ML Engineer 2,Livrable-07-Deploiement,"Contribue au Livrable 7 - Deploiement du cahier des charges. Ref. product_backlog.md (US-14)."
"En tant qu'equipe Ops, je veux un endpoint GET /health, afin de verifier que le service est disponible avant de le mettre en trafic.",Story,High,1,Sprint 3,ML Engineer 2,Livrable-07-Deploiement,"Contribue au Livrable 7 - Deploiement du cahier des charges. Ref. product_backlog.md (US-15)."
